OBJECTID,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA
11,10_67,20150709,10,67,JAIME I SUR,esq. Calle Jaime I el Conquistador,S,67,JAIS,,93,404,U,28,106,10603,1060399,C0050,Avda,de los,Planetas,N,6,,,,01,040,,T106395,1060399999,,4,B2,3,106-012,826,,582-3,2,3,20080125,20080125,,436105,4454286,T,,,,
12,10_7,20150709,10,7,MARIA TUDOR,Subterránea,I,7,5117,,93,408,U,28,079,07901,0790101,45983,Calle,de,María Tudor,N,15,,,28050,16,115,166,T079766,0790101988,,7,A,2,079-16-432,432,,559-2,2,3,20070220,20070401,,444277,4483356,T,,,,
13,10_9,20150709,10,9,LAS TABLAS,Superficie,S,9,5119,,92,95,U,28,079,07901,0790101,45764,Calle,de,Palas de Rey,N,30,,,28050,08,167,086,T079385,0790101986,2,7,A,1,079-08-152,152,,534-4,2,3,20070220,20070401,,443402,4484592,T,,,,
14,10_10,20150709,10,10,COLONIA JARDIN,Subterránea,I,10,,,91,43,U,28,079,07901,0790101,10799,Calle,de,Arenas de San Pedro,N,2,,,28024,10,152,105,T07911169,0790101515,3,5,A,2,079-10-249,249,,559-3,2,3,20070220,20070726,,434377,4472315,T,,,,
15,10_14,20150709,10,14,SOMOSAGUAS SUR,Subterránea,I,14,,,93,424,U,28,115,11523,1152301,A0716,Calle, ,Veritas,N,4,,,28223,01,006,,T115764,1152301012,,6,B1,3,115-018,1005,,559-3,2,3,20070220,20070726,,432871,4474369,T,,,,
16,10_59,20150709,10,59,AVENIDA SISTEMA SOLAR,esq. Calle Planeta Tierra,S,59,SLAR,,93,383,U,28,106,10603,1060399,C0048,Avda,del,Sistema Solar,N,9,,,,01,040,,T106608,1060399999,,4,B2,3,106-012,826,,582-3,2,3,20080125,20080125,,435387,4453041,T,,,,
17,10_61,20150709,10,61,TIERRA SUR,,S,61,TRRS,,93,426,U,28,106,10603,1060399,C0050,Avda,de los,Planetas,N,31,,,,01,040,,T106631,1060399999,,4,B2,3,106-012,826,,582-3,2,3,20080125,20080101,,435724,4452940,T,,,,
18,10_62,20150709,10,62,VENUS NORTE,,S,62,VNUN,,93,428,U,28,106,10603,1060399,C0051,Avda,de las,Estrellas,N,20,,,,01,040,,T106570,1060399999,,4,B2,3,106-012,826,,582-3,2,3,20080125,20080125,,436088,4453350,T,,,,
19,10_39,20150709,10,39,COCHERAS,Superficie,S,39,,,93,393,U,28,115,11522,1152299,99999,Ctra,de,Boadilla del Monte,SN,90,,,28223,01,018,,T115883,1152299999,,6,B1,3,115-022,1009,,559-3,2,3,20070803,20070726,,431891,4472326,T,,,,
20,10_65,20150709,10,65,ESTRELLA POLAR SUR,esq. Calle Estrella Polar,S,65,STRS,,93,397,U,28,106,10603,1060399,C0050,Avda,de los,Planetas,N,9,,,,01,040,,T106487,1060399999,,4,B2,3,106-012,826,,582-3,2,3,20080125,20080125,,435980,4453845,T,,,,
21,10_64,20150709,10,64,ESTRELLA POLAR NORTE,,S,64,STRN,,93,396,U,28,106,10603,1060399,C0051,Avda,de las,Estrellas,N,25,,,,01,040,,T106487,1060399999,,4,B2,3,106-012,826,,582-3,2,3,20080125,20080125,,436210,4453780,T,,,,
22,10_66,20150709,10,66,JAIME I NORTE,,S,66,JAIN,,93,403,U,28,106,10603,1060399,C0051,Avda,de las,Estrellas,N,5,,,,01,040,,T106409,1060399999,,4,B2,3,106-012,826,,582-3,2,3,20080125,20080125,,436335,4454222,T,,,,
23,10_68,20150709,10,68,POLIGONO INDUSTRIAL CIUDAD DE PARLA,,S,68,PICP,,93,414,U,28,106,10601,1060102,00865,Calle, ,Berlín,N,52,,,,01,016,,T106212,1060102006,,4,B2,3,106-008,822,,582-3,2,3,20080125,20080125,,436275,4454725,T,,,,
